login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name,pushed_at
naveenjujaray,naveenjujaray/naveenjujaray,2020-07-12T11:54:53Z,2,2,,False,False,,2024-10-31 10:19:27+00:00
saikiranpi,saikiranpi/Mastering-DevSecOps,2024-09-13T09:26:10Z,50,50,Shell,True,True,,2024-10-31 09:21:06+00:00
cmcodes1,cmcodes1/css-puns,2020-10-18T11:25:24Z,25,25,,True,True,mit,2024-10-31 08:22:02+00:00
DevashishPathrabe,DevashishPathrabe/DevashishPathrabe,2022-01-26T03:21:26Z,1,1,,True,True,mit,2024-10-31 07:37:29+00:00
NitishGadangi,NitishGadangi/dsa-playground,2024-06-12T19:45:49Z,0,0,Swift,True,True,,2024-10-31 07:06:46+00:00
vikaschoudhary16,vikaschoudhary16/envoy,2019-12-23T04:57:39Z,0,0,C++,True,False,apache-2.0,2024-10-31 06:42:10+00:00
sivaprasadreddy,sivaprasadreddy/bootiful-blog,2024-10-23T10:12:37Z,2,2,Java,True,False,apache-2.0,2024-10-31 06:38:55+00:00
saikiranpi,saikiranpi/packer,2024-04-14T08:16:34Z,1,1,,True,True,,2024-10-31 06:33:18+00:00
imajaydwivedi,imajaydwivedi/SQLMonitor,2023-09-14T01:40:04Z,24,24,PLpgSQL,True,True,mit,2024-10-31 03:49:25+00:00
Gaini-Laxman,Gaini-Laxman/Interview-QA,2023-08-05T03:57:15Z,1,1,Java,True,True,,2024-10-31 03:00:23+00:00
SwethaVipparla,SwethaVipparla/github-stats,2021-10-07T03:13:32Z,0,0,Python,True,True,gpl-3.0,2024-10-31 01:26:56+00:00
codelixir,codelixir/OpenLineage,2024-02-27T05:32:18Z,0,0,Java,True,True,apache-2.0,2024-10-30 18:51:57+00:00
vivekvardhan2810,vivekvardhan2810/Bharat_insights,2023-02-04T23:48:39Z,2,2,CSS,True,True,mit,2024-10-30 17:45:20+00:00
shash42,shash42/w2s,2024-10-18T09:56:06Z,0,0,Python,True,False,mit,2024-10-30 17:39:50+00:00
banrovegrie,banrovegrie/banrovegrie.github.io,2024-03-22T17:39:02Z,0,0,HTML,True,True,,2024-10-30 17:19:01+00:00
CaptainIRS,CaptainIRS/cutoff-analysis,2022-08-16T21:20:26Z,8,8,Blade,False,False,mit,2024-10-30 16:59:41+00:00
ankitpati,ankitpati/dotfiles,2019-08-28T02:19:58Z,1,1,Shell,False,False,gpl-3.0,2024-10-30 16:50:49+00:00
sivaprasadreddy,sivaprasadreddy/generator-springboot,2019-07-25T10:03:14Z,224,224,Java,True,True,mit,2024-10-30 16:49:39+00:00
sivaprasadreddy,sivaprasadreddy/bookmarks,2024-10-17T08:51:10Z,3,3,Java,True,True,,2024-10-30 16:14:22+00:00
Karthik2917k,Karthik2917k/Karthik2917k,2022-03-21T09:57:22Z,0,0,,True,False,,2024-10-30 15:22:49+00:00
arunmotoori,arunmotoori/GitHubFrameworksDemoRepository,2024-10-30T15:02:59Z,0,0,HTML,True,True,,2024-10-30 15:22:47+00:00
mohan1998g,mohan1998g/Cloud,2024-10-05T01:36:45Z,0,0,,True,True,,2024-10-30 14:48:07+00:00
SP9144,SP9144/MalariaInsightsTranscriptomicML,2024-10-30T14:35:38Z,0,0,,True,True,,2024-10-30 14:35:38+00:00
Shahzaib-D-Memon,Shahzaib-D-Memon/Scribble.github.io,2023-03-02T10:38:22Z,2,2,HTML,True,True,,2024-10-30 13:23:28+00:00
Himanshu12866,Himanshu12866/prescripto,2024-10-11T10:09:15Z,2,2,JavaScript,True,True,,2024-10-30 13:22:56+00:00
ahmedkaludi,ahmedkaludi/schema-and-structured-data-for-wp,2018-03-28T11:44:53Z,73,73,PHP,True,True,,2024-10-30 13:13:42+00:00
nisabmohd,nisabmohd/Aria-Docs,2023-09-25T17:27:49Z,157,157,TypeScript,True,True,mit,2024-10-30 11:18:59+00:00
mohan1998g,mohan1998g/PySpark,2024-10-02T16:30:53Z,0,0,,True,True,,2024-10-30 05:51:22+00:00
sharanya02,sharanya02/cadmus,2021-07-19T19:18:42Z,8,8,Python,True,True,gpl-3.0,2024-10-30 05:02:51+00:00
sharanya02,sharanya02/Python,2020-06-24T07:06:01Z,3,3,,True,True,mit,2024-10-30 05:01:11+00:00
vishipayyallore,vishipayyallore/aiml-2024,2023-12-14T04:39:13Z,4,4,C#,True,True,mit,2024-10-30 04:38:40+00:00
sirilalithaadapa,sirilalithaadapa/Axon_Company_PowerBI_Dashboard,2024-07-04T07:08:03Z,0,0,,True,False,,2024-10-30 04:25:20+00:00
Kabir-Sagiii,Kabir-Sagiii/AITUIFULLSTACKB4-7am,2024-07-26T01:35:45Z,1,1,HTML,True,True,,2024-10-30 02:36:31+00:00
naveen-uppala,naveen-uppala/customer,2023-07-23T02:24:13Z,6,6,Java,True,True,,2024-10-30 02:26:36+00:00
kumarawsbit,kumarawsbit/Azure,2024-05-10T01:20:41Z,0,0,PowerShell,True,True,,2024-10-30 02:10:46+00:00
Rudrabha,Rudrabha/Wav2Lip,2020-08-07T08:06:38Z,10659,10659,Python,True,True,,2024-10-30 01:50:14+00:00
GauravWalia19,GauravWalia19/GauravWalia19,2020-07-09T17:34:12Z,2,2,,True,True,,2024-10-29 19:31:44+00:00
GauravWalia19,GauravWalia19/codemash,2023-10-22T12:10:18Z,0,0,JavaScript,True,True,mit,2024-10-29 18:42:52+00:00
dharavathramdas101,dharavathramdas101/Das_101,2024-10-29T18:18:19Z,0,0,,True,True,mit,2024-10-29 18:23:17+00:00
dharavathramdas101,dharavathramdas101/dharavathramdas101,2023-03-12T07:07:06Z,0,0,,True,True,,2024-10-29 18:16:00+00:00
fayaz07,fayaz07/argon2-sample,2024-10-29T17:34:56Z,0,0,Go,True,False,,2024-10-29 17:38:20+00:00
mohan1998g,mohan1998g/PySpark-Functions-usages,2024-10-28T10:21:20Z,0,0,,True,True,,2024-10-29 16:32:46+00:00
prudhvir3ddy,prudhvir3ddy/awesome-tech-youtubers,2024-10-29T14:13:42Z,0,0,,True,True,apache-2.0,2024-10-29 14:14:26+00:00
kaziadilmemon,kaziadilmemon/AffiCodes-Hacktoberfest2024,2024-10-29T14:07:52Z,0,0,PHP,True,True,,2024-10-29 14:12:49+00:00
kaziadilmemon,kaziadilmemon/Hacktoberfest-2024,2024-10-29T14:07:50Z,0,0,C++,True,True,mit,2024-10-29 14:12:43+00:00
kaziadilmemon,kaziadilmemon/hacktoberfest2024,2024-10-29T14:07:47Z,0,0,JavaScript,True,True,apache-2.0,2024-10-29 14:11:12+00:00
r-devops,r-devops/docker-debugger,2022-02-04T06:32:52Z,0,0,Dockerfile,True,True,,2024-10-29 13:56:43+00:00
amanovishnu,amanovishnu/sde-notes,2024-10-26T15:31:21Z,0,0,Svelte,True,True,,2024-10-29 12:53:21+00:00
ashokitschool,ashokitschool/DevOps-Documents,2023-02-11T04:14:12Z,75,75,,True,True,,2024-10-29 12:05:04+00:00
nischalare,nischalare/CBTDjangoProject,2024-10-29T10:06:45Z,0,0,Python,True,True,,2024-10-29 10:08:28+00:00
ahmedkaludi,ahmedkaludi/accelerated-mobile-pages,2016-02-07T19:35:43Z,176,176,PHP,True,True,other,2024-10-29 06:37:11+00:00
avijit9,avijit9/avijit9.github.io,2022-05-14T15:33:49Z,0,0,HTML,True,True,,2024-10-29 02:59:33+00:00
vishalsingh2972,vishalsingh2972/100xDevs_2.0,2023-11-30T19:38:16Z,185,185,JavaScript,True,True,,2024-10-29 01:50:27+00:00
sharanya02,sharanya02/asl,2021-05-04T15:01:57Z,0,0,HTML,True,True,,2024-10-29 00:30:41+00:00
axayjha,axayjha/axayjha.github.io,2015-02-06T12:32:06Z,2,2,HTML,True,True,apache-2.0,2024-10-28 20:29:23+00:00
0xVikasRushi,0xVikasRushi/0xVikasRushi,2022-09-10T06:52:06Z,0,0,,True,True,,2024-10-28 17:20:37+00:00
sivaprasadreddy,sivaprasadreddy/jdev-simplify,2024-10-18T05:05:02Z,0,0,Kotlin,True,True,,2024-10-28 16:11:25+00:00
static-var,static-var/vlr-gg,2021-08-11T18:13:21Z,32,32,Kotlin,True,True,,2024-10-28 15:03:18+00:00
ahmedkaludi,ahmedkaludi/pwa-for-wp,2018-01-03T16:02:28Z,76,76,PHP,True,True,,2024-10-28 12:58:25+00:00
biswaroop1547,biswaroop1547/diffusers,2024-06-17T10:34:19Z,0,0,Python,True,True,apache-2.0,2024-10-28 10:55:30+00:00
mohan1998g,mohan1998g/Python,2024-10-05T16:57:31Z,0,0,,True,True,,2024-10-28 10:17:55+00:00
sudhir-voleti,sudhir-voleti/Llama3.2-multimodal,2024-10-25T06:29:11Z,0,0,Jupyter Notebook,True,True,,2024-10-28 07:05:22+00:00
Gaini-Laxman,Gaini-Laxman/EmployeeRestApiSwaggerDoc,2024-10-26T00:03:06Z,1,1,Java,True,True,,2024-10-28 06:56:51+00:00
vramana,vramana/blog,2014-09-11T08:30:27Z,1,1,CSS,False,False,,2024-10-28 06:22:42+00:00
naveen-uppala,naveen-uppala/Jenkins,2023-11-13T05:50:41Z,9,9,,True,True,,2024-10-28 02:37:17+00:00
keshav-exe,keshav-exe/bimal,2024-10-27T16:54:34Z,3,3,TypeScript,True,True,,2024-10-27 16:57:30+00:00
NotHarshhaa,NotHarshhaa/DevOps-Projects,2023-08-09T04:19:38Z,738,738,TypeScript,True,True,,2024-10-27 15:34:54+00:00
arunmotoori,arunmotoori/FrameworkWeekendCrashCourse,2024-10-26T14:56:10Z,1,1,HTML,True,True,,2024-10-27 14:30:32+00:00
swaroopnadella,swaroopnadella/SeleniumJavaSept2024,2024-09-29T14:27:25Z,0,0,Java,True,True,,2024-10-27 13:58:42+00:00
mssanamateen,mssanamateen/Artificial-Intelligence-Lab,2024-08-28T15:50:35Z,7,7,Jupyter Notebook,True,True,,2024-10-27 12:38:04+00:00
Himanshu12866,Himanshu12866/Himanshu12866,2023-09-01T05:47:34Z,11,11,,True,False,,2024-10-27 10:55:33+00:00
vibhanshujainiiitr,vibhanshujainiiitr/git-session-27-10-2024,2024-10-27T10:02:57Z,0,0,HTML,True,True,,2024-10-27 10:50:45+00:00
nisabmohd,nisabmohd/nisabmohd.blog,2023-08-29T08:41:21Z,4,4,MDX,True,True,,2024-10-27 09:01:24+00:00
sharanya02,sharanya02/Teamix,2021-06-18T12:12:41Z,7,7,JavaScript,True,True,mit,2024-10-27 03:14:58+00:00
r-devops,r-devops/azi1,2024-10-27T02:53:07Z,0,0,,True,True,,2024-10-27 02:53:07+00:00
gkdevops,gkdevops/ansible-code,2019-04-04T05:48:21Z,7,7,HTML,True,True,,2024-10-26 17:28:44+00:00
jaiakash,jaiakash/ccreward-web,2024-10-22T16:36:49Z,0,0,JavaScript,True,True,other,2024-10-26 13:17:28+00:00
naveen-uppala,naveen-uppala/frontend,2023-07-19T02:39:55Z,7,7,JavaScript,True,True,,2024-10-26 02:50:52+00:00
SiddharthaBose30,SiddharthaBose30/aws-nuke,2024-10-25T19:39:56Z,0,0,,True,False,mit,2024-10-25 21:49:13+00:00
Gaini-Laxman,Gaini-Laxman/chatboatAI,2024-10-22T11:30:19Z,1,1,HTML,True,True,,2024-10-25 20:17:52+00:00
Gaini-Laxman,Gaini-Laxman/BlogAppBackend,2024-10-25T14:07:48Z,1,1,Java,True,True,,2024-10-25 19:37:51+00:00
chakrihacker,chakrihacker/drizzle-orm,2024-10-25T15:06:26Z,0,0,,True,True,apache-2.0,2024-10-25 15:06:41+00:00
mssanamateen,mssanamateen/Python-Programming,2024-08-28T15:43:09Z,2,2,Jupyter Notebook,True,True,,2024-10-25 15:03:06+00:00
akcube,akcube/akcube.github.io,2021-07-23T21:51:47Z,0,0,Python,True,True,,2024-10-25 14:52:01+00:00
omkar-334,omkar-334/cbit-hacktoberfest24,2024-10-25T14:18:05Z,0,0,JavaScript,True,False,,2024-10-25 14:22:06+00:00
ashokitschool,ashokitschool/angular_docker_app,2023-08-07T14:44:32Z,3,3,TypeScript,True,True,,2024-10-25 12:28:39+00:00
MuhammadZubair786,MuhammadZubair786/BookTrack,2024-10-25T07:53:19Z,0,0,JavaScript,True,True,,2024-10-25 07:56:05+00:00
stacksimplify,stacksimplify/azure-aks-kubernetes-masterclass,2020-07-23T02:40:38Z,666,666,HCL,True,True,,2024-10-25 06:38:37+00:00
nithingooud,nithingooud/Mobile-ui-development,2024-10-21T02:30:38Z,0,0,TypeScript,True,True,,2024-10-25 06:08:08+00:00
urvashii-b,urvashii-b/LeetCode,2024-01-19T15:25:43Z,3,3,C++,True,True,,2024-10-25 04:34:09+00:00
arunmotoori,arunmotoori/Batch3FrameworkOne,2024-09-18T16:22:18Z,0,0,HTML,True,True,,2024-10-24 16:52:36+00:00
Dayitva,Dayitva/Lero,2024-10-24T11:49:56Z,0,0,TypeScript,True,True,,2024-10-24 12:00:00+00:00
ahmedkaludi,ahmedkaludi/push-notification,2019-12-14T09:18:55Z,6,6,PHP,True,True,,2024-10-24 09:55:25+00:00
codewithdev,codewithdev/financial-newsletter-agent,2024-10-23T19:53:59Z,0,0,Python,True,True,,2024-10-23 19:59:03+00:00
Karthik2917k,Karthik2917k/bizaekBackend,2024-08-20T15:39:50Z,0,0,TypeScript,True,True,,2024-10-23 18:28:36+00:00
AKSHITHA-CHILUKA,AKSHITHA-CHILUKA/Innovations_Hub,2024-05-28T00:21:08Z,21,21,Python,True,True,,2024-10-23 16:53:31+00:00
naveen-uppala,naveen-uppala/ghas-jira-integration,2024-10-23T13:53:31Z,0,0,,True,True,apache-2.0,2024-10-23 15:57:08+00:00
raghurama123,raghurama123/AB_polytypes,2023-12-22T02:47:14Z,0,0,Jupyter Notebook,True,True,,2024-10-23 06:52:54+00:00
sirreajohn,sirreajohn/portfolio-mahesh,2024-10-06T11:55:24Z,0,0,Svelte,True,True,,2024-10-23 03:31:15+00:00
rishabsingh3003,rishabsingh3003/ardupilot_wiki,2019-09-03T12:01:05Z,1,1,Python,True,True,other,2024-10-23 03:24:59+00:00
nisabmohd,nisabmohd/next.js,2024-05-06T06:40:35Z,0,0,JavaScript,True,False,mit,2024-10-22 17:31:03+00:00
FazeelUsmani,FazeelUsmani/Ecommerce,2024-10-21T16:06:54Z,0,0,Rust,True,True,,2024-10-22 17:24:45+00:00
Kabir-Sagiii,Kabir-Sagiii/AITRB8-B21,2024-09-13T14:34:14Z,0,0,JavaScript,True,True,,2024-10-22 15:28:25+00:00
urvashii-b,urvashii-b/Fortress,2024-10-09T12:42:47Z,0,0,C++,True,True,,2024-10-22 10:09:01+00:00
Kabir-Sagiii,Kabir-Sagiii/AIT_AngularB38AM,2024-09-10T02:38:14Z,0,0,TypeScript,True,True,,2024-10-22 07:41:02+00:00
Kabir-Sagiii,Kabir-Sagiii/AIT-ANGULAR630PM-B2,2024-07-12T13:04:02Z,0,0,TypeScript,True,True,,2024-10-22 07:39:39+00:00
sanjushasuresh,sanjushasuresh/BREAST-CANCER-RISK-PREDICTION,2024-10-22T04:54:39Z,0,0,,True,True,,2024-10-22 04:57:57+00:00
naveen-uppala,naveen-uppala/ContainerOrchestration,2023-11-13T05:43:39Z,8,8,,True,True,,2024-10-22 01:41:08+00:00
sivaprasadreddy,sivaprasadreddy/bookmarks-go,2021-12-02T11:34:42Z,1,1,Go,True,True,,2024-10-21 17:14:21+00:00
Zohaib-Sathio,Zohaib-Sathio/Kolmogorov-Smirnov-Test,2024-10-21T14:21:32Z,0,0,Python,True,True,,2024-10-21 14:37:02+00:00
Himanshu12866,Himanshu12866/library-project,2024-09-26T12:41:46Z,2,2,JavaScript,True,True,,2024-10-21 13:36:12+00:00
The-Coder-Kishor,The-Coder-Kishor/felicity-corporate,2024-10-21T11:58:01Z,0,0,,True,True,,2024-10-21 11:58:48+00:00
AKSHITHA-CHILUKA,AKSHITHA-CHILUKA/AKSHITHA-CHILUKA,2024-07-31T05:15:34Z,1,1,,True,True,,2024-10-21 07:50:16+00:00
mohanbabi,mohanbabi/auth_tailscale,2024-10-18T03:51:21Z,0,0,HTML,True,True,,2024-10-21 05:23:12+00:00
Himanshu12866,Himanshu12866/routing-web-app,2024-09-17T11:53:30Z,2,2,JavaScript,True,True,,2024-10-20 17:11:11+00:00
nisabmohd,nisabmohd/LinkLob,2024-04-17T13:01:56Z,5,5,TypeScript,True,True,,2024-10-20 10:29:52+00:00
AKSHITHA-CHILUKA,AKSHITHA-CHILUKA/algo,2024-10-15T09:57:44Z,0,0,TypeScript,True,True,mit,2024-10-20 08:02:51+00:00
nithingooud,nithingooud/Genuine_careers,2024-06-21T03:19:07Z,0,0,JavaScript,True,True,,2024-10-20 05:38:23+00:00
ashokitschool,ashokitschool/ashokit_ecomm_store,2024-10-19T05:15:30Z,0,0,CSS,True,True,,2024-10-20 05:16:51+00:00
ashokitschool,ashokitschool/01_products_api,2024-10-10T03:25:10Z,0,0,Java,True,True,,2024-10-20 04:43:24+00:00
omkar-334,omkar-334/BERT-Metaculus,2024-10-19T19:52:17Z,0,0,Jupyter Notebook,True,True,,2024-10-19 20:01:18+00:00
imajaydwivedi,imajaydwivedi/Python-BootCamp,2020-03-28T16:30:10Z,1,1,Jupyter Notebook,True,True,,2024-10-19 18:54:52+00:00
nithingooud,nithingooud/Priyadarshini-womens-college-webapp,2024-10-07T08:47:34Z,0,0,HTML,True,True,,2024-10-19 10:35:52+00:00
ahmedkaludi,ahmedkaludi/easy-table-of-contents,2015-09-08T14:10:01Z,67,67,PHP,True,True,,2024-10-19 09:58:12+00:00
ashokitschool,ashokitschool/05_Notifications_API,2024-10-19T02:19:26Z,0,0,Java,True,True,,2024-10-19 02:20:12+00:00
lerndevops,lerndevops/argo-demo,2022-02-23T16:45:16Z,0,0,,True,True,,2024-10-18 06:29:02+00:00
arbazkiraak,arbazkiraak/arbazhussain.com,2023-03-17T20:30:40Z,0,0,HTML,True,False,,2024-10-17 16:56:41+00:00
mohan1998g,mohan1998g/Sqoop,2024-10-02T16:30:16Z,0,0,,True,True,,2024-10-17 12:06:14+00:00
cmcodes1,cmcodes1/cmcodes1,2020-07-11T09:08:01Z,11,11,,True,True,,2024-10-17 06:57:04+00:00
cmcodes1,cmcodes1/cmcodes1.github.io,2019-11-02T16:56:40Z,25,25,HTML,True,True,,2024-10-17 06:55:30+00:00
chandu078,chandu078/android_kernel_oneplus_sm8350,2023-02-09T19:08:27Z,6,6,C,True,True,gpl-2.0,2024-10-17 06:12:46+00:00
sanjay-sol,sanjay-sol/goroutines-prime-counter,2024-10-16T16:52:26Z,0,0,Go,True,True,,2024-10-16 16:53:14+00:00
Rahmath-001,Rahmath-001/sb1-fwatrc,2024-10-16T11:03:13Z,0,0,,True,True,,2024-10-16 11:03:35+00:00
nisabmohd,nisabmohd/commonux2,2024-08-15T13:23:10Z,0,0,TypeScript,True,True,,2024-10-16 10:17:58+00:00
zubairabid,zubairabid/azure-cli-extensions,2022-09-28T07:41:49Z,0,0,Python,True,False,mit,2024-10-16 07:21:07+00:00
codewithdev,codewithdev/codewithdev,2020-07-10T14:41:55Z,1,1,Python,True,True,,2024-10-15 20:21:59+00:00
thecaffeinedev,thecaffeinedev/personal-site,2023-09-13T09:24:52Z,0,0,MDX,True,False,mit,2024-10-15 18:43:34+00:00
0xVikasRushi,0xVikasRushi/bls-sp1-test,2024-10-15T04:20:12Z,1,1,Rust,True,True,mit,2024-10-15 06:04:50+00:00
NarayandasGanesh,NarayandasGanesh/Aquashop.com,2022-12-12T18:27:28Z,6,6,JavaScript,True,True,,2024-10-14 17:48:55+00:00
omkar-334,omkar-334/EAMCET-2024-Analysis,2024-10-14T10:25:03Z,0,0,Python,True,True,,2024-10-14 12:13:58+00:00
Zohaib-Sathio,Zohaib-Sathio/Identifying-Cars-Estimating-their-Speed,2024-10-13T13:57:22Z,0,0,Python,True,True,mit,2024-10-14 10:30:07+00:00
Sharathchandra345,Sharathchandra345/CCS-WPM-Test-Hacktober,2024-10-13T09:00:13Z,1,1,JavaScript,True,True,gpl-3.0,2024-10-14 07:51:23+00:00
sirilalithaadapa,sirilalithaadapa/Brainwave_Matrix_Intern,2024-09-19T01:21:29Z,0,0,Python,True,True,epl-2.0,2024-10-14 06:23:06+00:00
stacksimplify,stacksimplify/docker-add-fetch-url-demo,2024-10-14T05:57:25Z,0,0,,True,True,,2024-10-14 05:59:08+00:00
AKSHITHA-CHILUKA,AKSHITHA-CHILUKA/Computer-Vision-Projects,2024-10-12T09:40:17Z,0,0,Jupyter Notebook,True,True,gpl-3.0,2024-10-13 18:33:20+00:00
gurramdhamodhar,gurramdhamodhar/Roadmap.sh-Projects,2024-10-03T11:30:49Z,0,0,HTML,True,True,,2024-10-13 16:52:41+00:00
Zohaib-Sathio,Zohaib-Sathio/Human-Fall-Detection-using-Pose-Estimation,2024-10-13T13:58:23Z,0,0,,True,True,mit,2024-10-13 13:58:23+00:00
shash42,shash42/shash42.github.io,2022-09-12T17:48:38Z,0,0,JavaScript,True,True,mit,2024-10-13 12:58:18+00:00
harinadh76,harinadh76/Find,2024-08-03T05:18:17Z,0,0,TypeScript,True,True,,2024-10-12 16:49:37+00:00
shivensinha4,shivensinha4/mathlib4,2024-10-12T10:48:57Z,0,0,Lean,True,True,apache-2.0,2024-10-12 10:50:59+00:00
rajdeepd,rajdeepd/bpb-vector-databases,2024-03-03T07:02:51Z,0,0,Jupyter Notebook,True,True,mit,2024-10-12 10:21:44+00:00
arnab9593,arnab9593/turbo-robot,2024-10-12T09:15:38Z,0,0,,True,True,,2024-10-12 09:42:52+00:00
sanjay-sol,sanjay-sol/locking-mutexes-go,2024-10-12T08:13:55Z,0,0,Go,True,True,,2024-10-12 08:30:15+00:00
harshapathuri86,harshapathuri86/nvim,2023-04-30T21:27:26Z,0,0,Lua,True,True,,2024-10-11 16:46:03+00:00
mssanamateen,mssanamateen/mssanamateen,2023-10-15T11:54:59Z,11,11,,True,True,,2024-10-11 16:07:31+00:00
Abhey,Abhey/hadoop,2024-10-11T08:47:12Z,0,0,,True,False,apache-2.0,2024-10-11 09:05:17+00:00
zubairabid,zubairabid/azure-cli,2022-09-28T07:41:36Z,0,0,Python,True,True,mit,2024-10-11 08:11:14+00:00
theshivamlko,theshivamlko/data_engineering_practice,2024-09-16T19:36:21Z,0,0,,True,True,,2024-10-10 12:10:36+00:00
Vikram310,Vikram310/Data_Engineering,2024-10-10T06:32:38Z,0,0,,True,True,,2024-10-10 06:40:06+00:00
venkat09docs,venkat09docs/githubdemo,2024-10-03T05:01:58Z,0,0,HCL,True,True,,2024-10-10 05:30:05+00:00
amit-bhandari,amit-bhandari/amit-bhandari.github.io,2024-01-30T09:43:05Z,0,0,HTML,True,True,,2024-10-09 10:11:46+00:00
dkapur17,dkapur17/streamlit-flow,2024-04-21T06:25:04Z,109,109,JavaScript,True,False,mit,2024-10-09 08:46:57+00:00
RAJANAGORI,RAJANAGORI/interview,2024-01-08T07:00:47Z,0,0,HTML,True,True,,2024-10-08 17:57:16+00:00
theshivamlko,theshivamlko/code-with-codespaces,2024-10-08T17:18:59Z,0,0,HTML,True,True,mit,2024-10-08 17:19:29+00:00
Prathamkrishna,Prathamkrishna/dicedb-chart,2024-10-08T16:23:07Z,0,0,,True,True,,2024-10-08 17:07:19+00:00
AKSHITHA-CHILUKA,AKSHITHA-CHILUKA/FinNews,2024-10-09T11:27:49Z,0,0,,True,True,,2024-10-08 16:37:08+00:00
theshivamlko,theshivamlko/copilot-codespaces-vscode,2024-10-08T16:09:33Z,0,0,,True,True,mit,2024-10-08 16:10:05+00:00
